name;region;city;address
"Филиал Московского психолого-социального университета в г. Рязани

/ Прежние наименования /


до 2011 г. - Филиал Московского психолого-социального института в г. Рязани

";Рязанская область;Рязань;"390027, город Рязань, ул. Новая, 51 б"
"Филиал Рязанского государственного радиотехнического университета в г. Сасово Рязанской области
";Рязанская область;Сасово;"391432, Рязанская область, г. Сасово, ул.Авиагородок"
"Архитектурно-строительный институт Самарского государственного технического университета

/ Прежние наименования /


до 30.12.2015 г. - Самарский государственный архитектурно-строительный университет
до 2005 г. - Самарская государственная архитектурно-строительная академия

";Самарская область;Самара;"443001, Самарская область, г. Самара, ул. Молодогвардейская, д. 194"
"Волжский университет имени В.Н. Татищева (институт)
";Самарская область;Тольятти;"445020, Самарская область, г. Тольятти, ул. Ленинградская, д. 16"
"Институт менеджмента, маркетинга и права
";Самарская область;Тольятти;"445028, Самарская область, г. Тольятти, Московский просп., д. 37"
"Институт Телеинфо
";Самарская область;Самара;"443080, Самарская область, г. Самара, ул. Санфировой, д. 110а"
"Медицинский институт «РЕАВИЗ»
";Самарская область;Самара;"443001, город Самара, ул. Чапаевская, д. 227"
"Международный институт рынка
";Самарская область;Самара;"443030, г. Самара, ул. Аксакова, 21"
"Поволжский государственный университет сервиса

/ Прежние наименования /


до 2009 г. - Тольяттинский государственный университет сервиса;<br>до 2007 г. - Тольяттинская государственная академия сервиса;<br>до 2002 г. - Поволжский технологический институт сервиса

";Самарская область;Тольятти;"445677, Самарская обл., г. Тольятти, ул. Гагарина, д. 4"
"Поволжский государственный университет телекоммуникаций и информатики

/ Прежние наименования /


до 2008 г. - Поволжская государственная академия телекоммуникаций и информатики

";Самарская область;Самара;"443010, Самарская область, г. Самара, ул. Льва Толстого, д. 23"
"Поволжский институт бизнеса
";Самарская область;Самара;"443010, г. Самара, ул. Галактионовская, д. 141, к. 51, 53"
"Поволжский филиал Международного университета в Москве (гуманитарного)
";Самарская область;Самара;"443010, г. Самара, ул. Куйбышева/Красноармейская, д. 145/3"
"Самарская академия государственного и муниципального управления

/ Прежние наименования /


до 2010 г. - Самарский муниципальный институт управления

";Самарская область;Самара;"443084, г. Самара, ул. Стара-Загора, 96"
"Самарская государственная областная академия (Наяновой)
";Самарская область;Самара;"443010, г. Самара, ул. Чапаевская, д. 186"
"Самарская государственная сельскохозяйственная академия
";Самарская область;Самара;"446442, Самарская область, г.о. Кинель, п.г.т. Усть-Кинельский, ул. Учебная, 2"
"Самарская гуманитарная академия
";Самарская область;Самара;"443011, г. Самара, ул. 8-я Радиальная, д. 31"
"Самарский военно-медицинский институт
";Самарская область;Самара;"443099, Самарская область, г. Самара, ул. Пионерская, д. 22"
